time,stim,spike
31.481,0,0.00397
31.482,0,9.8e-4
31.483,0,0.00156
31.484,0,0.00388
31.485,0,0.00479
31.486,0,0.00555
31.487,0,0.00156
31.488,0,0.00162
31.489,0,0.00824
31.49,0,7.6e-4
31.491,0,0.00641
31.492,0,3e-5
31.493,0,0.00302
31.494,0,0.0051
31.495,0,0.00146
31.496,0,-0.00113
31.497,0,-1.2e-4
31.498,0,0.00134
31.499,0,-0.00275
31.5,0,0.00916
31.501,0,2.7e-4
31.502,0,0.00726
31.503,0,7e-4
31.504,0,-0.00269
31.505,0,-0.00253
31.506,0,6.1e-4
31.507,0,0.00592
31.508,0,7.3e-4
31.509,0,0.00146
31.51,0,0.01233
31.511,0,0.00638
31.512,0,0.00494
31.513,0,0.00604
31.514,0,0.00751
31.515,0,-0.00558
31.516,0,0.00653
31.517,0,0.00308
31.518,0,-0.00397
31.519,0,0.00983
31.52,0,0.00272
31.521,0,-0.00357
31.522,0,-0.00189
31.523,0,0.00208
31.524,0,0.00662
31.525,0,0.0014
31.526,0,-0.0022
31.527,0,0.00446
31.528,0,0.00671
31.529,0,0.00171
31.53,0,-0.0011
31.531,0,0.00278
31.532,0,9.5e-4
31.533,0,0.00684
31.534,0,0.00211
31.535,0,0.00378
31.536,0,5.5e-4
31.537,0,0.0058
31.538,0,0.00421
31.539,0,0.01062
31.54,0,0.00638
31.541,0,0.01248
31.542,0,0.00162
31.543,0,0.01193
31.544,0,0.00745
31.545,0,-0.00668
31.546,0,0.00293
31.547,0,-0.00299
31.548,0,0.0022
31.549,0,0.00427
31.55,0,-2.1e-4
31.551,0,0.00333
31.552,0,-0.00885
31.553,0,-2.7e-4
31.554,0,0.00189
31.555,0,0.0022
31.556,0,0.00443
31.557,0,0.00635
31.558,0,0.00211
31.559,0,-0.01874
31.56,0,0.01007
31.561,0,0.00906
31.562,0,0.00281
31.563,0,0.00314
31.564,0,-0.00601
31.565,0,-0.00638
31.566,0,-0.00864
31.567,0,0.02365
31.568,0,0.0087
31.569,0,0.00116
31.57,0,-0.00403
31.571,0,9.5e-4
31.572,0,8.5e-4
31.573,0,-0.0022
31.574,0,0.00677
31.575,0,0.00134
31.576,0,0.00479
31.577,0,0.00513
31.578,0,-2.7e-4
31.579,0,-0.0033
31.58,0,0.01456
31.581,0,0.01953
31.582,0,0.00775
31.583,0,-0.0097
31.584,0,0.01114
31.585,0,0.00964
31.586,0,0.00958
31.587,0,-4.3e-4
31.588,0,0.00244
31.589,0,0.00903
31.59,0,0.0062
31.591,0,6.7e-4
31.592,0,0.00177
31.593,0,0.00174
31.594,0,0.00583
31.595,0,0.00183
31.596,0,0.0022
31.597,0,0.00809
31.598,0,0.00238
31.599,0,0.00183
31.6,0,7e-4
31.601,0,-0.00168
31.602,0,0.00476
31.603,0,-6.4e-4
31.604,0,0.00507
31.605,0,0.00177
31.606,0,-0.00339
31.607,0,0.00729
31.608,0,0.0033
31.609,0,0.00726
31.61,0,0.00882
31.611,0,0.00406
31.612,0,-0.01486
31.613,0,-0.01617
31.614,0,0.00967
31.615,0,0.01324
31.616,0,0.00192
31.617,0,0.00211
31.618,0,-0.00583
31.619,0,0.00769
31.62,0,0.00208
31.621,0,0.00452
31.622,0,6.7e-4
31.623,0,-0.00107
31.624,0,4.3e-4
31.625,0,0.00162
31.626,0,0.0036
31.627,0,-6.4e-4
31.628,0,-7e-4
31.629,0,-0.00226
31.63,0,7e-4
31.631,0,0.00446
31.632,0,0.00494
31.633,0,-0.00308
31.634,0,0.00687
31.635,0,0.00299
31.636,0,5.2e-4
31.637,0,0.00775
31.638,0,-0.00208
31.639,0,0.00662
31.64,0,9.2e-4
31.641,0,0.00168
31.642,0,-0.00479
31.643,0,0.00781
31.644,0,0.0036
31.645,0,-0.00244
31.646,0,-6e-5
31.647,0,0.00702
31.648,0,0.00327
31.649,0,0.00223
31.65,0,2.4e-4
31.651,0,-0.00284
31.652,0,0.00323
31.653,0,0.00137
31.654,0,0.00214
31.655,0,-6.1e-4
31.656,0,0.00644
31.657,0,0.01016
31.658,0,0.00818
31.659,0,0.00525
31.66,0,6.1e-4
31.661,0,0.00388
31.662,0,9.8e-4
31.663,0,-0.00232
31.664,0,0.00424
31.665,0,0.00537
31.666,0,-0.00681
31.667,0,0.00269
31.668,0,-0.00412
31.669,0,0.02097
31.67,0,0.01282
31.671,0,0.00156
31.672,0,-0.00159
31.673,0,-0.00412
31.674,0,-0.01031
31.675,0,0.00809
31.676,0,0.01233
31.677,0,-0.00449
31.678,0,0.0166
31.679,0,0.00732
31.68,0,-0.00443
31.681,0,-0.00137
31.682,0,0.00171
31.683,0,-0.00473
31.684,0,0.00479
31.685,0,0.00757
31.686,0,0.0014
31.687,0,3.4e-4
31.688,0,0.00214
31.689,0,-0.00174
31.69,0,-0.00153
31.691,0,0.00385
31.692,0,7.3e-4
31.693,0,3.4e-4
31.694,0,-0.00366
31.695,0,0.01236
31.696,0,0.00595
31.697,0,5.2e-4
31.698,0,0.00339
31.699,0,0.00583
31.7,0,0.00751
31.701,0,-8.2e-4
31.702,0,0.00333
31.703,0,-0.00311
31.704,0,0.0058
31.705,0,0.00195
31.706,0,-0.0015
31.707,0,0.00998
31.708,0,0.0083
31.709,0,0.00522
31.71,0,-0.00244
31.711,0,0.00717
31.712,0,5.8e-4
31.713,0,-7.9e-4
31.714,0,-0.01205
31.715,0,0.03091
31.716,0,0.00211
31.717,0,-0.0011
31.718,0,-4.9e-4
31.719,0,0.00354
31.72,0,-0.00171
31.721,0,-0.00113
31.722,0,0.01212
31.723,0,0.0058
31.724,0,0.00397
31.725,0,0.00482
31.726,0,-0.00403
31.727,0,0.0047
31.728,0,0.00653
31.729,0,-0.00272
31.73,0,0.00473
31.731,0,4.3e-4
31.732,0,-0.00125
31.733,0,0.0061
31.734,0,0.00348
31.735,0,0.01089
31.736,0,0.0065
31.737,0,0.01727
31.738,0,0.00809
31.739,0,0.0014
31.74,0,-0.00223
31.741,0,0.00305
31.742,0,-0.00168
31.743,0,0.0025
31.744,0,0.00354
31.745,0,-0.00546
31.746,0,-0.00839
31.747,0,0.00958
31.748,0,0.01221
31.749,0,0.00427
31.75,0,-0.01511
31.751,0,0.0061
31.752,0,0.0036
31.753,0,-0.01068
31.754,0,-0.00281
31.755,0,0.00446
31.756,0,0.0047
31.757,0,0.00848
31.758,0,0.00162
31.759,0,-0.01346
31.76,0,0.01151
31.761,0,3.4e-4
31.762,0,0.00418
31.763,0,0.00226
31.764,0,0.00516
31.765,0,0.00156
31.766,0,-3.7e-4
31.767,0,0.00897
31.768,0,0.00369
31.769,0,0.00122
31.77,0,0.0018
31.771,0,0.00748
31.772,0,-0.0029
31.773,0,0.00302
31.774,0,0.00452
31.775,0,0.005
31.776,0,-0.0037200000000000002
31.777,0,0.00116
31.778,0,0.0033
31.779,0,0.0014
31.78,0,0.0022
31.781,0,0.00742
31.782,0,0.00552
31.783,0,0.00156
31.784,0,0
31.785,0,9.2e-4
31.786,0,-1.8e-4
31.787,0,-0.00198
31.788,0,0.00177
31.789,0,0.00406
